// key	ITEM_NAME_	ITEM_DESCRIPTION_
10000101	잃어버린 머리카락	머리카락 한올 한올 영혼의 흔적이 남아있다.
10000102	녹슨 못	녹슨 못이 흘린 피처럼 불그스름하다.
10000103	붉게 물든 실	날카로운 바늘을 조심하라.\피를 먹은 실은 원한을 부른다.
10000104	누군가의 손톱	깎은 손톱은 잘 처리하자.\손톱에 깃든 영혼의 조각을 빼앗길지 모르니...
10000105	그을린 소금	소금은 악령을 정화하지만,\그을린 소금은 지옥의 문을 연다.
10000201	솜터럭	버려진 인형의 뱃속에서 긁어낸 솜 찌꺼기다.
10000202	솜뭉치	인형 뱃속에서 긁어낸 솜 찌꺼기를 모아 모아\솜뭉치를 만들었다.
10000203	묵은 솜	무엇이든 오래된 것일수록 특별한 힘을 가진 법이다.
10000204	거미줄 솜	마계의 거미줄을 뭉쳐서 만든 솜이다.
10000205	곰팡이 솜	피어오른 곰팡이에서 푹신푹신한 솜을 얻었다.
1010011	딸랑이	맑고 경쾌한 소리가 울리는 딸랑이.\아기를 달랠 때, 화난 상대를 약올릴 때 사용한다.
1010012	딸랑이	맑고 경쾌한 소리가 울리는 딸랑이.\아기를 달랠 때, 화난 상대를 약올릴 때 사용한다.
1010013	딸랑이	맑고 경쾌한 소리가 울리는 딸랑이.\아기를 달랠 때, 화난 상대를 약올릴 때 사용한다.
1010014	딸랑이	맑고 경쾌한 소리가 울리는 딸랑이.\아기를 달랠 때, 화난 상대를 약올릴 때 사용한다.
1010015	딸랑이	맑고 경쾌한 소리가 울리는 딸랑이.\아기를 달랠 때, 화난 상대를 약올릴 때 사용한다.
1010021	커터칼	작지만 무기에 필요한 성능은 모두 갖췄다.\종이 이외의 것도 잘 잘린다.
1010022	커터칼	작지만 무기에 필요한 성능은 모두 갖췄다.\종이 이외의 것도 잘 잘린다.
1010023	커터칼	작지만 무기에 필요한 성능은 모두 갖췄다.\종이 이외의 것도 잘 잘린다.
1010024	커터칼	작지만 무기에 필요한 성능은 모두 갖췄다.\종이 이외의 것도 잘 잘린다.
1010025	커터칼	작지만 무기에 필요한 성능은 모두 갖췄다.\종이 이외의 것도 잘 잘린다.
1010031	벽돌	집을 지을 때 사용하는 단단한 벽돌.\땅따먹기 놀이를 할 때 더 유용하게 쓰인다.
1010032	벽돌	집을 지을 때 사용하는 단단한 벽돌.\땅따먹기 놀이를 할 때 더 유용하게 쓰인다.
1010033	벽돌	집을 지을 때 사용하는 단단한 벽돌.\땅따먹기 놀이를 할 때 더 유용하게 쓰인다.
1010034	벽돌	집을 지을 때 사용하는 단단한 벽돌.\땅따먹기 놀이를 할 때 더 유용하게 쓰인다.
1010035	벽돌	집을 지을 때 사용하는 단단한 벽돌.\땅따먹기 놀이를 할 때 더 유용하게 쓰인다.
1020041	롤리팝	달콤하고 단단한 사탕.\내구성은 낮아 보인다.
1020042	롤리팝	달콤하고 단단한 사탕.\내구성은 낮아 보인다.
1020043	롤리팝	달콤하고 단단한 사탕.\내구성은 낮아 보인다.
1020044	롤리팝	달콤하고 단단한 사탕.\내구성은 낮아 보인다.
1020045	롤리팝	달콤하고 단단한 사탕.\내구성은 낮아 보인다.
1020051	나무 몽둥이	다듬지 않은 거친 나무 몽둥이.\나무가시가 박히지 않도록 조심하자.
